,block,beta_factor,gradient,snapshot_num,samp_frac,snapshot_mag,snapshot_grad
0,Okolie_ages_1-17,8.0,1.0,0,0.001,-1.0,0.0
0,Okolie_ages_18-21,8.0,1.0,0,0.001,-1.0,0.0
0,Okolie_ages_22-28,8.0,1.0,0,0.001,-1.0,0.0
0,Okolie_ages_29-112,8.0,1.0,0,0.001,0.5,0.75
0,Petrzalka_ages_1-17,8.0,1.0,0,0.001,0.0,1.0
0,Petrzalka_ages_18-21,8.0,1.0,0,0.001,-0.3333333333333333,0.8888888888888888
0,Petrzalka_ages_22-28,8.0,1.0,0,0.001,-0.6666666666666666,0.5555555555555556
0,Petrzalka_ages_29-112,8.0,1.0,0,0.001,-1.0,0.0
0,Ruzinov_ages_1-17,8.0,1.0,0,0.001,-1.0,0.0
0,Ruzinov_ages_18-21,8.0,1.0,0,0.001,-1.0,0.0
0,Ruzinov_ages_22-28,8.0,1.0,0,0.001,-1.0,0.0
0,Ruzinov_ages_29-112,8.0,1.0,0,0.001,-1.0,0.0
0,Okolie_ages_1-17,8.0,1.0,1,0.001,-1.0,0.0
0,Okolie_ages_18-21,8.0,1.0,1,0.001,-1.0,0.0
0,Okolie_ages_22-28,8.0,1.0,1,0.001,-0.5,0.75
0,Okolie_ages_29-112,8.0,1.0,1,0.001,0.0,1.0
0,Petrzalka_ages_1-17,8.0,1.0,1,0.001,0.0,1.0
0,Petrzalka_ages_18-21,8.0,1.0,1,0.001,-0.3333333333333333,0.8888888888888888
0,Petrzalka_ages_22-28,8.0,1.0,1,0.001,-1.0,0.0
0,Petrzalka_ages_29-112,8.0,1.0,1,0.001,-0.6,0.64
0,Ruzinov_ages_1-17,8.0,1.0,1,0.001,1.0,0.0
0,Ruzinov_ages_18-21,8.0,1.0,1,0.001,-1.0,0.0
0,Ruzinov_ages_22-28,8.0,1.0,1,0.001,-1.0,0.0
0,Ruzinov_ages_29-112,8.0,1.0,1,0.001,1.0,0.0
0,Okolie_ages_1-17,8.0,1.0,2,0.001,-1.0,0.0
0,Okolie_ages_18-21,8.0,1.0,2,0.001,-1.0,0.0
0,Okolie_ages_22-28,8.0,1.0,2,0.001,-0.5,0.75
0,Okolie_ages_29-112,8.0,1.0,2,0.001,0.0,1.0
0,Petrzalka_ages_1-17,8.0,1.0,2,0.001,-1.0,0.0
0,Petrzalka_ages_18-21,8.0,1.0,2,0.001,-1.0,0.0
0,Petrzalka_ages_22-28,8.0,1.0,2,0.001,-1.0,0.0
0,Petrzalka_ages_29-112,8.0,1.0,2,0.001,-0.6,0.64
0,Ruzinov_ages_1-17,8.0,1.0,2,0.001,-1.0,0.0
0,Ruzinov_ages_18-21,8.0,1.0,2,0.001,0.0,1.0
0,Ruzinov_ages_22-28,8.0,1.0,2,0.001,-1.0,0.0
0,Ruzinov_ages_29-112,8.0,1.0,2,0.001,0.3333333333333333,0.8888888888888888
0,Okolie_ages_1-17,8.0,1.0,3,0.001,-1.0,0.0
0,Okolie_ages_18-21,8.0,1.0,3,0.001,-1.0,0.0
0,Okolie_ages_22-28,8.0,1.0,3,0.001,-1.0,0.0
0,Okolie_ages_29-112,8.0,1.0,3,0.001,-0.5,0.75
0,Petrzalka_ages_1-17,8.0,1.0,3,0.001,-1.0,0.0
0,Petrzalka_ages_18-21,8.0,1.0,3,0.001,0.3333333333333333,0.8888888888888888
0,Petrzalka_ages_22-28,8.0,1.0,3,0.001,-0.6666666666666666,0.5555555555555556
0,Petrzalka_ages_29-112,8.0,1.0,3,0.001,-1.0,0.0
0,Ruzinov_ages_1-17,8.0,1.0,3,0.001,-1.0,0.0
0,Ruzinov_ages_18-21,8.0,1.0,3,0.001,-1.0,0.0
0,Ruzinov_ages_22-28,8.0,1.0,3,0.001,-1.0,0.0
0,Ruzinov_ages_29-112,8.0,1.0,3,0.001,-1.0,0.0
0,Okolie_ages_1-17,8.0,1.0,4,0.001,-1.0,0.0
0,Okolie_ages_18-21,8.0,1.0,4,0.001,-1.0,0.0
0,Okolie_ages_22-28,8.0,1.0,4,0.001,-0.5,0.75
0,Okolie_ages_29-112,8.0,1.0,4,0.001,-0.5,0.75
0,Petrzalka_ages_1-17,8.0,1.0,4,0.001,-1.0,0.0
0,Petrzalka_ages_18-21,8.0,1.0,4,0.001,-1.0,0.0
0,Petrzalka_ages_22-28,8.0,1.0,4,0.001,-1.0,0.0
0,Petrzalka_ages_29-112,8.0,1.0,4,0.001,-0.6,0.64
0,Ruzinov_ages_1-17,8.0,1.0,4,0.001,-1.0,0.0
0,Ruzinov_ages_18-21,8.0,1.0,4,0.001,-1.0,0.0
0,Ruzinov_ages_22-28,8.0,1.0,4,0.001,-1.0,0.0
0,Ruzinov_ages_29-112,8.0,1.0,4,0.001,-1.0,0.0
0,Okolie_ages_1-17,8.0,1.0,5,0.001,-1.0,0.0
0,Okolie_ages_18-21,8.0,1.0,5,0.001,-1.0,0.0
0,Okolie_ages_22-28,8.0,1.0,5,0.001,-1.0,0.0
0,Okolie_ages_29-112,8.0,1.0,5,0.001,-0.5,0.75
0,Petrzalka_ages_1-17,8.0,1.0,5,0.001,-1.0,0.0
0,Petrzalka_ages_18-21,8.0,1.0,5,0.001,-1.0,0.0
0,Petrzalka_ages_22-28,8.0,1.0,5,0.001,-1.0,0.0
0,Petrzalka_ages_29-112,8.0,1.0,5,0.001,-0.6,0.64
0,Ruzinov_ages_1-17,8.0,1.0,5,0.001,-1.0,0.0
0,Ruzinov_ages_18-21,8.0,1.0,5,0.001,0.0,1.0
0,Ruzinov_ages_22-28,8.0,1.0,5,0.001,-1.0,0.0
0,Ruzinov_ages_29-112,8.0,1.0,5,0.001,-0.3333333333333333,0.8888888888888888
0,Okolie_ages_1-17,8.0,1.0,6,0.001,-1.0,0.0
0,Okolie_ages_18-21,8.0,1.0,6,0.001,-1.0,0.0
0,Okolie_ages_22-28,8.0,1.0,6,0.001,0.0,1.0
0,Okolie_ages_29-112,8.0,1.0,6,0.001,0.0,1.0
0,Petrzalka_ages_1-17,8.0,1.0,6,0.001,-1.0,0.0
0,Petrzalka_ages_18-21,8.0,1.0,6,0.001,-1.0,0.0
0,Petrzalka_ages_22-28,8.0,1.0,6,0.001,-1.0,0.0
0,Petrzalka_ages_29-112,8.0,1.0,6,0.001,-0.2,0.96
0,Ruzinov_ages_1-17,8.0,1.0,6,0.001,1.0,0.0
0,Ruzinov_ages_18-21,8.0,1.0,6,0.001,-1.0,0.0
0,Ruzinov_ages_22-28,8.0,1.0,6,0.001,-1.0,0.0
0,Ruzinov_ages_29-112,8.0,1.0,6,0.001,-1.0,0.0
0,Okolie_ages_1-17,8.0,1.0,7,0.001,-1.0,0.0
0,Okolie_ages_18-21,8.0,1.0,7,0.001,0.0,1.0
0,Okolie_ages_22-28,8.0,1.0,7,0.001,-1.0,0.0
0,Okolie_ages_29-112,8.0,1.0,7,0.001,-1.0,0.0
0,Petrzalka_ages_1-17,8.0,1.0,7,0.001,-1.0,0.0
0,Petrzalka_ages_18-21,8.0,1.0,7,0.001,-0.3333333333333333,0.8888888888888888
0,Petrzalka_ages_22-28,8.0,1.0,7,0.001,-0.6666666666666666,0.5555555555555556
0,Petrzalka_ages_29-112,8.0,1.0,7,0.001,-0.2,0.96
0,Ruzinov_ages_1-17,8.0,1.0,7,0.001,-1.0,0.0
0,Ruzinov_ages_18-21,8.0,1.0,7,0.001,0.0,1.0
0,Ruzinov_ages_22-28,8.0,1.0,7,0.001,-1.0,0.0
0,Ruzinov_ages_29-112,8.0,1.0,7,0.001,0.3333333333333333,0.8888888888888888
0,Okolie_ages_1-17,8.0,1.0,8,0.001,0.0,1.0
0,Okolie_ages_18-21,8.0,1.0,8,0.001,-1.0,0.0
0,Okolie_ages_22-28,8.0,1.0,8,0.001,0.0,1.0
0,Okolie_ages_29-112,8.0,1.0,8,0.001,0.0,1.0
0,Petrzalka_ages_1-17,8.0,1.0,8,0.001,-1.0,0.0
0,Petrzalka_ages_18-21,8.0,1.0,8,0.001,-1.0,0.0
0,Petrzalka_ages_22-28,8.0,1.0,8,0.001,-1.0,0.0
0,Petrzalka_ages_29-112,8.0,1.0,8,0.001,-1.0,0.0
0,Ruzinov_ages_1-17,8.0,1.0,8,0.001,1.0,0.0
0,Ruzinov_ages_18-21,8.0,1.0,8,0.001,-1.0,0.0
0,Ruzinov_ages_22-28,8.0,1.0,8,0.001,-1.0,0.0
0,Ruzinov_ages_29-112,8.0,1.0,8,0.001,-0.3333333333333333,0.8888888888888888
0,Okolie_ages_1-17,8.0,1.0,9,0.001,-1.0,0.0
0,Okolie_ages_18-21,8.0,1.0,9,0.001,-1.0,0.0
0,Okolie_ages_22-28,8.0,1.0,9,0.001,-0.5,0.75
0,Okolie_ages_29-112,8.0,1.0,9,0.001,-1.0,0.0
0,Petrzalka_ages_1-17,8.0,1.0,9,0.001,0.0,1.0
0,Petrzalka_ages_18-21,8.0,1.0,9,0.001,-0.3333333333333333,0.8888888888888888
0,Petrzalka_ages_22-28,8.0,1.0,9,0.001,-1.0,0.0
0,Petrzalka_ages_29-112,8.0,1.0,9,0.001,-0.2,0.96
0,Ruzinov_ages_1-17,8.0,1.0,9,0.001,-1.0,0.0
0,Ruzinov_ages_18-21,8.0,1.0,9,0.001,0.0,1.0
0,Ruzinov_ages_22-28,8.0,1.0,9,0.001,-1.0,0.0
0,Ruzinov_ages_29-112,8.0,1.0,9,0.001,-1.0,0.0
0,Okolie_ages_1-17,8.0,1.0,10,0.001,-1.0,0.0
0,Okolie_ages_18-21,8.0,1.0,10,0.001,-1.0,0.0
0,Okolie_ages_22-28,8.0,1.0,10,0.001,0.0,1.0
0,Okolie_ages_29-112,8.0,1.0,10,0.001,-0.5,0.75
0,Petrzalka_ages_1-17,8.0,1.0,10,0.001,0.0,1.0
0,Petrzalka_ages_18-21,8.0,1.0,10,0.001,-1.0,0.0
0,Petrzalka_ages_22-28,8.0,1.0,10,0.001,-0.6666666666666666,0.5555555555555556
0,Petrzalka_ages_29-112,8.0,1.0,10,0.001,-0.2,0.96
0,Ruzinov_ages_1-17,8.0,1.0,10,0.001,-1.0,0.0
0,Ruzinov_ages_18-21,8.0,1.0,10,0.001,-1.0,0.0
0,Ruzinov_ages_22-28,8.0,1.0,10,0.001,-0.3333333333333333,0.8888888888888888
0,Ruzinov_ages_29-112,8.0,1.0,10,0.001,-0.3333333333333333,0.8888888888888888
0,Okolie_ages_1-17,8.0,1.0,11,0.001,-1.0,0.0
0,Okolie_ages_18-21,8.0,1.0,11,0.001,0.0,1.0
0,Okolie_ages_22-28,8.0,1.0,11,0.001,-0.5,0.75
0,Okolie_ages_29-112,8.0,1.0,11,0.001,-0.5,0.75
0,Petrzalka_ages_1-17,8.0,1.0,11,0.001,-1.0,0.0
0,Petrzalka_ages_18-21,8.0,1.0,11,0.001,0.3333333333333333,0.8888888888888888
0,Petrzalka_ages_22-28,8.0,1.0,11,0.001,-0.6666666666666666,0.5555555555555556
0,Petrzalka_ages_29-112,8.0,1.0,11,0.001,0.2,0.96
0,Ruzinov_ages_1-17,8.0,1.0,11,0.001,-1.0,0.0
0,Ruzinov_ages_18-21,8.0,1.0,11,0.001,-1.0,0.0
0,Ruzinov_ages_22-28,8.0,1.0,11,0.001,-1.0,0.0
0,Ruzinov_ages_29-112,8.0,1.0,11,0.001,0.3333333333333333,0.8888888888888888
0,Okolie_ages_1-17,8.0,1.0,12,0.001,-1.0,0.0
0,Okolie_ages_18-21,8.0,1.0,12,0.001,-1.0,0.0
0,Okolie_ages_22-28,8.0,1.0,12,0.001,0.0,1.0
0,Okolie_ages_29-112,8.0,1.0,12,0.001,0.0,1.0
0,Petrzalka_ages_1-17,8.0,1.0,12,0.001,-1.0,0.0
0,Petrzalka_ages_18-21,8.0,1.0,12,0.001,-0.3333333333333333,0.8888888888888888
0,Petrzalka_ages_22-28,8.0,1.0,12,0.001,-0.6666666666666666,0.5555555555555556
0,Petrzalka_ages_29-112,8.0,1.0,12,0.001,0.2,0.96
0,Ruzinov_ages_1-17,8.0,1.0,12,0.001,1.0,0.0
0,Ruzinov_ages_18-21,8.0,1.0,12,0.001,-1.0,0.0
0,Ruzinov_ages_22-28,8.0,1.0,12,0.001,-0.3333333333333333,0.8888888888888888
0,Ruzinov_ages_29-112,8.0,1.0,12,0.001,0.3333333333333333,0.8888888888888888
0,Okolie_ages_1-17,8.0,1.0,13,0.001,-1.0,0.0
0,Okolie_ages_18-21,8.0,1.0,13,0.001,-1.0,0.0
0,Okolie_ages_22-28,8.0,1.0,13,0.001,-0.5,0.75
0,Okolie_ages_29-112,8.0,1.0,13,0.001,0.0,1.0
0,Petrzalka_ages_1-17,8.0,1.0,13,0.001,-1.0,0.0
0,Petrzalka_ages_18-21,8.0,1.0,13,0.001,-1.0,0.0
0,Petrzalka_ages_22-28,8.0,1.0,13,0.001,-0.3333333333333333,0.8888888888888888
0,Petrzalka_ages_29-112,8.0,1.0,13,0.001,-0.6,0.64
0,Ruzinov_ages_1-17,8.0,1.0,13,0.001,-1.0,0.0
0,Ruzinov_ages_18-21,8.0,1.0,13,0.001,-1.0,0.0
0,Ruzinov_ages_22-28,8.0,1.0,13,0.001,-1.0,0.0
0,Ruzinov_ages_29-112,8.0,1.0,13,0.001,-0.3333333333333333,0.8888888888888888
0,Okolie_ages_1-17,8.0,1.0,14,0.001,-1.0,0.0
0,Okolie_ages_18-21,8.0,1.0,14,0.001,-1.0,0.0
0,Okolie_ages_22-28,8.0,1.0,14,0.001,-0.5,0.75
0,Okolie_ages_29-112,8.0,1.0,14,0.001,0.0,1.0
0,Petrzalka_ages_1-17,8.0,1.0,14,0.001,0.0,1.0
0,Petrzalka_ages_18-21,8.0,1.0,14,0.001,-1.0,0.0
0,Petrzalka_ages_22-28,8.0,1.0,14,0.001,-0.6666666666666666,0.5555555555555556
0,Petrzalka_ages_29-112,8.0,1.0,14,0.001,-1.0,0.0
0,Ruzinov_ages_1-17,8.0,1.0,14,0.001,-1.0,0.0
0,Ruzinov_ages_18-21,8.0,1.0,14,0.001,0.0,1.0
0,Ruzinov_ages_22-28,8.0,1.0,14,0.001,-1.0,0.0
0,Ruzinov_ages_29-112,8.0,1.0,14,0.001,-0.3333333333333333,0.8888888888888888
0,Okolie_ages_1-17,8.0,1.0,0,0.1,-0.7580645161290323,0.42533818938605616
0,Okolie_ages_18-21,8.0,1.0,0,0.1,-0.7835051546391752,0.38611967265384206
0,Okolie_ages_22-28,8.0,1.0,0,0.1,-0.6962025316455697,0.5153020349302996
0,Okolie_ages_29-112,8.0,1.0,0,0.1,-0.3468208092485549,0.8797153262721775
0,Petrzalka_ages_1-17,8.0,1.0,0,0.1,-0.6571428571428571,0.5681632653061224
0,Petrzalka_ages_18-21,8.0,1.0,0,0.1,-0.8672985781990521,0.24779317625390274
0,Petrzalka_ages_22-28,8.0,1.0,0,0.1,-0.6946564885496184,0.5174523629159139
0,Petrzalka_ages_29-112,8.0,1.0,0,0.1,-0.44175824175824174,0.8048496558386669
0,Ruzinov_ages_1-17,8.0,1.0,0,0.1,-0.7288135593220338,0.4688307957483483
0,Ruzinov_ages_18-21,8.0,1.0,0,0.1,-0.6991150442477876,0.511238154906414
0,Ruzinov_ages_22-28,8.0,1.0,0,0.1,-0.6326530612244898,0.599750104123282
0,Ruzinov_ages_29-112,8.0,1.0,0,0.1,-0.3559322033898305,0.8733122665900603
0,Okolie_ages_1-17,8.0,1.0,1,0.1,-0.7419354838709677,0.4495317377731529
0,Okolie_ages_18-21,8.0,1.0,1,0.1,-0.7938144329896907,0.36985864597725593
0,Okolie_ages_22-28,8.0,1.0,1,0.1,-0.7658227848101266,0.4135154622656626
0,Okolie_ages_29-112,8.0,1.0,1,0.1,-0.41040462427745666,0.8315680443716796
0,Petrzalka_ages_1-17,8.0,1.0,1,0.1,-0.8142857142857143,0.3369387755102041
0,Petrzalka_ages_18-21,8.0,1.0,1,0.1,-0.7061611374407583,0.5013364479683745
0,Petrzalka_ages_22-28,8.0,1.0,1,0.1,-0.7290076335877863,0.46854787017073585
0,Petrzalka_ages_29-112,8.0,1.0,1,0.1,-0.2879120879120879,0.9171066296341022
0,Ruzinov_ages_1-17,8.0,1.0,1,0.1,-0.864406779661017,0.25280091927607007
0,Ruzinov_ages_18-21,8.0,1.0,1,0.1,-0.7345132743362832,0.46049024982379194
0,Ruzinov_ages_22-28,8.0,1.0,1,0.1,-0.7551020408163265,0.4298209079550188
0,Ruzinov_ages_29-112,8.0,1.0,1,0.1,-0.3389830508474576,0.88509049123815
0,Okolie_ages_1-17,8.0,1.0,2,0.1,-0.7096774193548387,0.4963579604578563
0,Okolie_ages_18-21,8.0,1.0,2,0.1,-0.6907216494845361,0.5229036029333617
0,Okolie_ages_22-28,8.0,1.0,2,0.1,-0.7215189873417721,0.4794103509053037
0,Okolie_ages_29-112,8.0,1.0,2,0.1,-0.4277456647398844,0.8170336462962344
0,Petrzalka_ages_1-17,8.0,1.0,2,0.1,-0.7857142857142857,0.38265306122448983
0,Petrzalka_ages_18-21,8.0,1.0,2,0.1,-0.7819905213270142,0.3884908245547045
0,Petrzalka_ages_22-28,8.0,1.0,2,0.1,-0.6755725190839694,0.5436017714585397
0,Petrzalka_ages_29-112,8.0,1.0,2,0.1,-0.4153846153846154,0.8274556213017752
0,Ruzinov_ages_1-17,8.0,1.0,2,0.1,-0.7627118644067796,0.4182706118931342
0,Ruzinov_ages_18-21,8.0,1.0,2,0.1,-0.7876106194690266,0.3796695120996163
0,Ruzinov_ages_22-28,8.0,1.0,2,0.1,-0.7061224489795919,0.5013910870470637
0,Ruzinov_ages_29-112,8.0,1.0,2,0.1,-0.4152542372881356,0.8275639184142488
0,Okolie_ages_1-17,8.0,1.0,3,0.1,-0.6935483870967742,0.5189906347554629
0,Okolie_ages_18-21,8.0,1.0,3,0.1,-0.7628865979381443,0.41800403868636415
0,Okolie_ages_22-28,8.0,1.0,3,0.1,-0.6518987341772152,0.5750280403781445
0,Okolie_ages_29-112,8.0,1.0,3,0.1,-0.3872832369942196,0.8500116943432792
0,Petrzalka_ages_1-17,8.0,1.0,3,0.1,-0.7285714285714285,0.46918367346938783
0,Petrzalka_ages_18-21,8.0,1.0,3,0.1,-0.7345971563981043,0.4603670178118191
0,Petrzalka_ages_22-28,8.0,1.0,3,0.1,-0.6870229007633588,0.5279995338267001
0,Petrzalka_ages_29-112,8.0,1.0,3,0.1,-0.3934065934065934,0.8452312522642194
0,Ruzinov_ages_1-17,8.0,1.0,3,0.1,-0.8305084745762712,0.31025567365699513
0,Ruzinov_ages_18-21,8.0,1.0,3,0.1,-0.7522123893805309,0.43417652126243256
0,Ruzinov_ages_22-28,8.0,1.0,3,0.1,-0.6979591836734694,0.5128529779258642
0,Ruzinov_ages_29-112,8.0,1.0,3,0.1,-0.3050847457627119,0.9069232979029015
0,Okolie_ages_1-17,8.0,1.0,4,0.1,-0.8548387096774194,0.26925078043704476
0,Okolie_ages_18-21,8.0,1.0,4,0.1,-0.8041237113402062,0.35338505686045274
0,Okolie_ages_22-28,8.0,1.0,4,0.1,-0.6645569620253164,0.5583640442236821
0,Okolie_ages_29-112,8.0,1.0,4,0.1,-0.3583815028901734,0.8715626983861806
0,Petrzalka_ages_1-17,8.0,1.0,4,0.1,-0.7571428571428571,0.42673469387755103
0,Petrzalka_ages_18-21,8.0,1.0,4,0.1,-0.7535545023696683,0.4321556119584017
0,Petrzalka_ages_22-28,8.0,1.0,4,0.1,-0.6870229007633588,0.5279995338267001
0,Petrzalka_ages_29-112,8.0,1.0,4,0.1,-0.3978021978021978,0.841753411423741
0,Ruzinov_ages_1-17,8.0,1.0,4,0.1,-0.7627118644067796,0.4182706118931342
0,Ruzinov_ages_18-21,8.0,1.0,4,0.1,-0.6991150442477876,0.511238154906414
0,Ruzinov_ages_22-28,8.0,1.0,4,0.1,-0.6408163265306123,0.5893544356518117
0,Ruzinov_ages_29-112,8.0,1.0,4,0.1,-0.3559322033898305,0.8733122665900603
0,Okolie_ages_1-17,8.0,1.0,5,0.1,-0.8064516129032258,0.34963579604578576
0,Okolie_ages_18-21,8.0,1.0,5,0.1,-0.7010309278350515,0.5085556382187268
0,Okolie_ages_22-28,8.0,1.0,5,0.1,-0.6708860759493671,0.5499118730972601
0,Okolie_ages_29-112,8.0,1.0,5,0.1,-0.3699421965317919,0.8631427712252331
0,Petrzalka_ages_1-17,8.0,1.0,5,0.1,-0.8714285714285714,0.24061224489795918
0,Petrzalka_ages_18-21,8.0,1.0,5,0.1,-0.6777251184834123,0.5406886637766447
0,Petrzalka_ages_22-28,8.0,1.0,5,0.1,-0.6984732824427481,0.5121350737136531
0,Petrzalka_ages_29-112,8.0,1.0,5,0.1,-0.3934065934065934,0.8452312522642194
0,Ruzinov_ages_1-17,8.0,1.0,5,0.1,-0.8983050847457628,0.19304797471990798
0,Ruzinov_ages_18-21,8.0,1.0,5,0.1,-0.8761061946902655,0.23243793562534254
0,Ruzinov_ages_22-28,8.0,1.0,5,0.1,-0.7714285714285715,0.40489795918367344
0,Ruzinov_ages_29-112,8.0,1.0,5,0.1,-0.3474576271186441,0.8792731973570813
0,Okolie_ages_1-17,8.0,1.0,6,0.1,-0.8548387096774194,0.26925078043704476
0,Okolie_ages_18-21,8.0,1.0,6,0.1,-0.7422680412371134,0.4490381549580189
0,Okolie_ages_22-28,8.0,1.0,6,0.1,-0.7341772151898734,0.46098381669604227
0,Okolie_ages_29-112,8.0,1.0,6,0.1,-0.49710982658959535,0.7528818203080625
0,Petrzalka_ages_1-17,8.0,1.0,6,0.1,-0.6428571428571429,0.586734693877551
0,Petrzalka_ages_18-21,8.0,1.0,6,0.1,-0.7251184834123223,0.47420318501381364
0,Petrzalka_ages_22-28,8.0,1.0,6,0.1,-0.6984732824427481,0.5121350737136531
0,Petrzalka_ages_29-112,8.0,1.0,6,0.1,-0.4065934065934066,0.8346818017147688
0,Ruzinov_ages_1-17,8.0,1.0,6,0.1,-0.7288135593220338,0.4688307957483483
0,Ruzinov_ages_18-21,8.0,1.0,6,0.1,-0.7876106194690266,0.3796695120996163
0,Ruzinov_ages_22-28,8.0,1.0,6,0.1,-0.673469387755102,0.546438983756768
0,Ruzinov_ages_29-112,8.0,1.0,6,0.1,-0.4322033898305085,0.8132002298190175
0,Okolie_ages_1-17,8.0,1.0,7,0.1,-0.7741935483870968,0.4006243496357961
0,Okolie_ages_18-21,8.0,1.0,7,0.1,-0.6907216494845361,0.5229036029333617
0,Okolie_ages_22-28,8.0,1.0,7,0.1,-0.7721518987341772,0.40378144528120496
0,Okolie_ages_29-112,8.0,1.0,7,0.1,-0.3988439306358382,0.8409235189949547
0,Petrzalka_ages_1-17,8.0,1.0,7,0.1,-0.7714285714285715,0.40489795918367344
0,Petrzalka_ages_18-21,8.0,1.0,7,0.1,-0.7725118483412322,0.403225444172413
0,Petrzalka_ages_22-28,8.0,1.0,7,0.1,-0.7175572519083969,0.48511159023366945
